City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebu,-37.6167,-73.65,18.5,69,0,6.45,CL,1614872862
Jamestown,42.097,-79.2353,-1.11,92,90,6.21,US,1614872863
Hobart,-42.8794,147.3294,12.22,58,95,5.66,AU,1614872760
Castro,-24.7911,-50.0119,23.18,77,95,5.42,BR,1614872863
Sørland,67.667,12.6934,-1.0,93,98,7.72,NO,1614872863
Goiânia,-16.6786,-49.2539,29.0,54,40,1.54,BR,1614872680
Aliwal North,-30.6937,26.7114,28.8,19,64,6.67,ZA,1614872601
Tiksi,71.6872,128.8694,-29.99,98,93,2.38,RU,1614872863
Srednekolymsk,67.45,153.6833,-23.68,90,100,7.25,RU,1614872864
Kinsale,51.7075,-8.5306,4.0,81,75,3.09,IE,1614872864
Sidi Ali,36.0998,0.4206,14.74,69,4,5.48,DZ,1614872864
La Reforma,25.0833,-108.05,19.0,63,20,2.57,MX,1614872865
Miracema do Tocantins,-9.5618,-48.3967,29.35,66,100,1.67,BR,1614872865
Kavaratti,10.5669,72.642,28.81,56,0,1.72,IN,1614872865
Kabwe,-14.4469,28.4464,21.34,91,58,1.49,ZM,1614872865
Arman',59.7,150.1667,-28.11,76,0,1.47,RU,1614872866
Punta Arenas,-53.15,-70.9167,14.0,47,0,7.72,CL,1614872866
Hithadhoo,-0.6,73.0833,29.11,63,57,3.62,MV,1614872866
Zaysan,47.4667,84.8667,-11.01,91,2,0.5,KZ,1614872867
North Fort Myers,26.6673,-81.8801,19.44,68,90,3.6,US,1614872582
Saint Paul Harbor,57.79,-152.4072,-2.0,64,1,6.17,US,1614872867
Nikolskoye,59.7035,30.7861,-2.0,64,75,5.0,RU,1614872867
San Cristobal,7.7669,-72.225,27.0,57,40,2.06,VE,1614872806
Chicama,-7.8447,-79.1469,22.0,94,40,3.09,PE,1614872868
Mataura,-46.1927,168.8643,14.44,57,87,4.47,NZ,1614872868
Port Elizabeth,-33.918,25.5701,22.0,73,75,5.66,ZA,1614872868
Iqaluit,63.7506,-68.5145,-7.0,63,90,2.57,CA,1614872868
Hilo,19.7297,-155.09,18.0,82,40,2.57,US,1614872763
Upernavik,72.7868,-56.1549,-23.82,82,77,7.95,GL,1614872869
Buta,2.7858,24.73,34.95,21,72,0.47,CD,1614872869
Avarua,-21.2078,-159.775,26.0,89,75,1.03,CK,1614872869
Albany,42.6001,-73.9662,1.11,41,41,2.24,US,1614872870
Chui,-33.6971,-53.4616,25.09,79,84,4.8,UY,1614872870
Kapaa,22.0752,-159.319,20.0,77,75,7.2,US,1614872870
Bluff,-46.6,168.3333,14.44,57,99,4.47,NZ,1614872870
Ganzhou,28.8184,115.4327,12.28,85,74,0.8,CN,1614872870
Busselton,-33.65,115.3333,19.44,97,9,2.61,AU,1614872871
Paamiut,61.994,-49.6678,5.74,64,82,3.0,GL,1614872871
Dikson,73.5069,80.5464,-34.16,81,3,5.64,RU,1614872871
Qaanaaq,77.484,-69.3632,-31.15,75,85,4.29,GL,1614872871
De Aar,-30.6497,24.0123,29.97,16,37,10.0,ZA,1614872871
Saint-Augustin,51.226,-58.6502,-4.21,98,100,6.01,CA,1614872871
Rikitea,-23.1203,-134.9692,26.32,75,44,0.83,PF,1614872872
Hasaki,35.7333,140.8333,7.78,93,75,1.54,JP,1614872872
Atuona,-9.8,-139.0333,26.58,72,85,5.53,PF,1614872872
Port Alfred,-33.5906,26.891,20.56,91,91,3.96,ZA,1614872872
Lata,40.1629,-8.3327,17.22,73,100,3.13,PT,1614872872
Vao,-22.6667,167.4833,25.06,79,94,8.41,NC,1614872873
New Norfolk,-42.7826,147.0587,12.22,62,95,0.89,AU,1614872873
Coxim,-18.5067,-54.76,23.67,84,84,3.08,BR,1614872873
Ushuaia,-54.8,-68.3,14.0,54,40,1.46,AR,1614872810
Tessalit,20.1986,1.0114,28.67,13,100,6.35,ML,1614872873
Tuktoyaktuk,69.4541,-133.0374,-31.0,76,75,1.54,CA,1614872874
Puerto Ayora,-0.7393,-90.3518,28.33,83,75,2.06,EC,1614872875
Lakhtinskiy,59.9911,30.1597,-1.67,64,75,5.0,RU,1614872875
Charters Towers,-20.1,146.2667,22.25,81,92,5.77,AU,1614872875
Saldanha,-33.0117,17.9442,24.0,46,0,7.72,ZA,1614872875
Cherskiy,68.75,161.3,-24.3,90,100,1.59,RU,1614872875
Sitka,57.0531,-135.33,2.0,80,75,4.63,US,1614872875
Opuwo,-18.0607,13.84,31.2,21,0,4.51,NA,1614872876
Vaini,-21.2,-175.2,23.0,100,40,1.03,TO,1614872876
Taksimo,56.3444,114.8794,-31.08,73,2,1.77,RU,1614872876
Menongue,-14.6585,17.691,22.72,77,39,1.42,AO,1614872877
Saint-Philippe,-21.3585,55.7679,27.0,74,75,1.03,RE,1614872877
Taoudenni,22.6783,-3.9836,30.6,12,0,5.76,ML,1614872877
Lodja,-3.4833,23.4333,30.17,52,34,0.8,CD,1614872877
Tinaquillo,9.9186,-68.3047,33.33,34,13,1.6,VE,1614872877
Kiryat Gat,31.61,34.7642,13.89,100,28,4.17,IL,1614872878
Butaritari,3.0707,172.7902,27.29,81,100,7.94,KI,1614872878
Hong Kong,22.2855,114.1577,19.44,86,33,4.85,HK,1614872732
San José de Río Tinto,14.9333,-85.7,24.0,88,75,1.27,HN,1614872878
Almaznyy,48.0448,40.045,3.0,75,0,9.0,RU,1614872878
Kahului,20.8947,-156.47,18.33,77,1,2.57,US,1614872783
Barrow,71.2906,-156.7887,-32.0,68,1,2.57,US,1614872879
Jumla,29.2747,82.1838,4.03,65,47,1.46,NP,1614872879
Ponta do Sol,32.6667,-17.1,18.89,57,98,2.24,PT,1614872879
Daru,-9.0763,143.2092,25.54,86,100,5.63,PG,1614872879
Ilulissat,69.2167,-51.1,-3.0,74,75,8.23,GL,1614872880
Robertsport,6.7533,-11.3686,28.02,79,82,4.96,LR,1614872880
El Tigre,8.8875,-64.2454,29.97,51,45,4.66,VE,1614872880
Bamiantong,44.9333,130.5333,1.83,86,90,5.0,CN,1614872880
Longyearbyen,78.2186,15.6401,-18.0,78,20,6.69,SJ,1614872880
Middleton,53.55,-2.2,7.78,67,98,0.89,GB,1614872860
Zeya,53.75,127.2667,-28.37,79,0,3.25,RU,1614872881
Topolobampo,25.6,-109.05,17.0,67,90,4.63,MX,1614872881
Liebling,45.5775,21.3217,13.89,54,0,1.54,RO,1614872881
Norman Wells,65.282,-126.8329,-37.0,74,20,1.54,CA,1614872881
Batemans Bay,-35.7167,150.1833,16.67,89,69,0.89,AU,1614872882
Ketchikan,55.3422,-131.6461,1.0,100,75,2.18,US,1614872882
Korla,41.7597,86.1469,5.81,61,39,1.81,CN,1614872882
Luwingu,-10.2621,29.9271,18.69,88,67,0.77,ZM,1614872883
Bāglung,28.2719,83.5898,13.47,41,14,2.35,NP,1614872883
Beloha,-25.1667,45.05,25.02,79,3,3.61,MG,1614872883
Henties Bay,-22.116,14.2845,23.67,58,0,6.02,NA,1614872883
Riverton,40.5219,-111.9391,6.67,87,1,6.69,US,1614872883
Kudahuvadhoo,2.6708,72.8944,28.17,71,40,4.67,MV,1614872883
Fortuna,40.5982,-124.1573,9.44,74,100,1.79,US,1614872884
Ereymentau,51.6199,73.1033,-3.29,96,92,10.04,KZ,1614872884
Nome,64.5011,-165.4064,-19.0,78,75,10.8,US,1614872884
Mendi,-6.1761,143.6513,13.05,97,100,1.03,PG,1614872884
Khovd,48.0056,91.6419,-8.4,67,0,0.67,MN,1614872885
Laguna,38.421,-121.4238,7.78,87,1,2.06,US,1614872875
Progreso,21.2833,-89.6667,26.11,78,75,2.57,MX,1614872885
Dergachi,51.2328,48.7659,-0.81,84,97,7.7,RU,1614872885
Mar del Plata,-38.0023,-57.5575,26.0,69,75,3.09,AR,1614872697
Øksfjord,70.2396,22.3479,-3.0,68,20,2.57,NO,1614872885
Port-Gentil,-0.7193,8.7815,29.0,84,75,5.14,GA,1614872886
Bogo,11.0517,124.0055,25.86,83,0,5.24,PH,1614872886
Hermanus,-34.4187,19.2345,20.56,75,76,2.54,ZA,1614872886
Port Lincoln,-34.7333,135.8667,15.16,86,0,5.47,AU,1614872886
Provideniya,64.3833,-173.3,-14.96,96,100,13.15,RU,1614872886
Den Helder,52.9599,4.7593,5.0,70,90,4.63,NL,1614872886
Waddān,29.1614,16.139,19.79,25,51,7.72,LY,1614872887
Geraldton,-28.7667,114.6,20.0,88,1,1.54,AU,1614872887
Wenling,28.3669,121.36,12.78,88,0,0.97,CN,1614872887
Mīrābād,30.4362,61.8383,22.69,20,0,3.01,AF,1614872887
Thayetmyo,19.3167,95.1833,23.7,34,0,2.61,MM,1614872887
Çubuk,40.2386,33.0322,8.0,36,0,3.6,TR,1614872888
Kibala,9.1104,18.3463,38.0,12,0,3.09,TD,1614872888
Clyde River,70.4692,-68.5914,-28.0,76,20,2.06,CA,1614872888
Tūkrah,32.5341,20.5791,14.46,56,0,4.81,LY,1614872888
Edd,13.9297,41.6925,28.96,51,0,7.39,ER,1614872889
Nanortalik,60.1432,-45.2371,3.87,86,70,7.14,GL,1614872889
Avanigadda,16.0215,80.9181,26.0,73,20,1.54,IN,1614872889
Krasnosel'kup,65.7,82.4667,-11.77,94,100,5.68,RU,1614872889
Ribeira Grande,38.5167,-28.7,18.0,59,20,4.63,PT,1614872889
Salalah,17.0151,54.0924,26.0,83,0,1.54,OM,1614872890
Barra de Tecoanapa,16.5167,-98.75,29.36,41,1,1.63,MX,1614872890
Khilok,51.3674,110.4676,-24.18,89,0,1.39,RU,1614872890
Constantine,36.365,6.6147,16.0,48,40,4.12,DZ,1614872890
Xai-Xai,-25.0519,33.6442,24.29,83,1,2.73,MZ,1614872890
Tasiilaq,65.6145,-37.6368,2.0,87,75,2.06,GL,1614872891
Kaitangata,-46.2817,169.8464,11.11,66,51,3.45,NZ,1614872891
Grindavik,63.8424,-22.4338,6.0,87,75,5.14,IS,1614872891
Khatanga,71.9667,102.5,-34.16,79,0,4.49,RU,1614872891
Katsuura,35.1333,140.3,11.0,82,75,1.54,JP,1614872892
Narsaq,60.9167,-46.05,10.0,32,75,18.52,GL,1614872892
Coyhaique,-45.5752,-72.0662,16.0,59,20,3.09,CL,1614872892
Emmen,52.7792,6.9069,5.56,70,91,2.57,NL,1614872892
Bilibino,68.0546,166.4372,-22.51,92,100,2.87,RU,1614872892
Pevek,69.7008,170.3133,-19.59,89,100,1.54,RU,1614872893
São Filipe,14.8961,-24.4956,23.04,65,78,3.27,CV,1614872893
Mogadishu,2.0371,45.3438,26.62,80,66,10.82,SO,1614872893
Porto Velho,-8.7619,-63.9039,26.0,78,75,1.54,BR,1614872893
Laas,46.6166,10.7002,14.0,60,0,2.06,IT,1614872893
Aklavik,68.2191,-135.0107,-34.0,75,20,2.57,CA,1614872894
Poum,-20.2333,164.0167,26.83,80,83,6.61,NC,1614872894
Sulangan,11.1373,123.7228,27.17,80,2,6.64,PH,1614872894
Iseyin,7.9667,3.6,38.47,17,72,2.14,NG,1614872894
Nago,26.5881,127.9761,20.0,88,20,4.26,JP,1614872894
San Patricio,28.017,-97.5169,21.0,72,75,5.14,US,1614872894
Valparaíso,-33.0393,-71.6273,15.0,100,90,2.57,CL,1614872894
San Carlos del Zulia,9.0,-71.9135,31.12,51,46,1.5,VE,1614872895
Ahipara,-35.1667,173.1667,16.51,89,2,1.92,NZ,1614872895
Seydi,39.4816,62.9137,10.0,47,96,6.14,TM,1614872895
Forsytheganj,52.6333,29.7333,1.56,89,100,4.45,BY,1614872895
Mahébourg,-20.4081,57.7,27.0,74,20,2.06,MU,1614872767
Torbay,47.6666,-52.7314,1.67,74,75,11.83,CA,1614872896
Lüderitz,-26.6481,15.1594,24.12,53,0,10.41,NA,1614872896
Novichikha,52.204,81.3877,-8.26,74,44,8.4,RU,1614872896
Roald,62.5833,6.1333,1.0,86,75,4.63,NO,1614872896
Campechuela,20.2342,-77.2789,28.17,59,2,4.16,CU,1614872896
Vila Franca do Campo,37.7167,-25.4333,17.0,63,20,7.2,PT,1614872897
La Ronge,55.1001,-105.2842,-13.0,92,74,2.06,CA,1614872897
Skjervøy,70.0311,20.9714,-4.0,80,90,6.69,NO,1614872897
Prince Rupert,54.3161,-130.3201,4.0,87,90,2.57,CA,1614872643
Khāsh,28.2211,61.2158,18.14,28,0,3.52,IR,1614872897
Labuhan,-6.8844,112.2051,23.99,94,100,0.34,ID,1614872897
Carnarvon,-24.8667,113.6333,23.0,88,40,3.09,AU,1614872898
Neyshabur,36.2133,58.7958,10.85,45,1,2.36,IR,1614872898
Tulcea,45.1667,28.8,12.22,47,0,3.09,RO,1614872898
Carutapera,-1.195,-46.02,28.74,76,94,2.81,BR,1614872898
Espumoso,-28.7247,-52.8497,24.69,87,99,4.02,BR,1614872898
Meulaboh,4.1363,96.1285,26.81,81,55,0.83,ID,1614872899
Maceió,-9.6658,-35.7353,30.0,66,75,5.66,BR,1614872767
Kloulklubed,7.0419,134.2556,27.0,78,75,4.63,PW,1614872899
Puerto Ayacucho,5.6639,-67.6236,35.38,38,26,1.69,VE,1614872899
Talnakh,69.4865,88.3972,-22.12,97,100,3.22,RU,1614872899
Mahanje,-9.9333,35.3333,20.27,92,100,0.57,TZ,1614872900
Olafsvik,64.8945,-23.7142,5.14,90,100,5.58,IS,1614872900
Kwekwe,-18.9281,29.8149,21.3,72,28,2.88,ZW,1614872900
Severo-Kuril'sk,50.6789,156.125,-2.19,91,80,10.44,RU,1614872900
Dobšiná,48.8207,20.3699,8.0,61,75,9.26,SK,1614872900
Muhos,64.808,25.9931,-7.0,68,0,6.17,FI,1614872901
Inhambane,-23.865,35.3833,29.0,70,40,4.12,MZ,1614872901
Lompoc,34.6391,-120.4579,9.44,93,20,3.09,US,1614872901
Arraial do Cabo,-22.9661,-42.0278,32.0,65,40,6.69,BR,1614872901
Bunia,1.5667,30.25,26.1,39,58,2.43,CD,1614872901
Havre-St-Pierre,50.2334,-63.5986,-7.0,79,90,12.86,CA,1614872901
Pedernales,18.0384,-71.744,27.24,54,0,3.47,DO,1614872902
Esperance,-33.8667,121.9,19.0,88,95,6.17,AU,1614872902
Mitsamiouli,-11.3847,43.2844,27.81,78,99,5.87,KM,1614872902
Kaeo,-35.1,173.7833,14.44,94,6,0.89,NZ,1614872902
Kampot,10.6167,104.1833,27.0,78,0,5.14,KH,1614872903
Yeppoon,-23.1333,150.7333,23.0,68,100,4.12,AU,1614872903
Mweka,-4.85,21.5667,29.71,57,75,0.66,CD,1614872903
Cidreira,-30.1811,-50.2056,27.05,73,100,2.12,BR,1614872903
Gorontalo,0.5412,123.0595,24.43,83,93,1.54,ID,1614872904
Morón,-34.6534,-58.6198,28.89,71,92,1.34,AR,1614872904
Bredasdorp,-34.5322,20.0403,22.0,56,95,2.06,ZA,1614872904
Słupsk,54.4641,17.0287,1.46,71,100,3.87,PL,1614872904
Yellowknife,62.456,-114.3525,-24.44,70,75,6.69,CA,1614872752
Doha,25.2867,51.5333,25.0,53,0,2.06,QA,1614872904
Aksu,41.1231,80.2644,7.39,54,20,3.55,CN,1614872905
Sam Chuk,14.7576,100.0899,28.33,75,0,4.11,TH,1614872905
Cayenne,4.9333,-52.3333,30.0,66,75,7.72,GF,1614872905
Mossamedes,-15.1961,12.1522,27.0,65,75,5.14,AO,1614872905
Alexandria,31.2156,29.9553,17.0,67,40,6.17,EG,1614872692
Kindu,-2.95,25.95,27.49,66,61,1.34,CD,1614872906
Pisco,-13.7,-76.2167,26.0,69,75,3.6,PE,1614872906
Seoul,37.5683,126.9778,3.0,93,0,1.54,KR,1614872271
Vostok,46.4856,135.8833,-1.64,98,99,2.32,RU,1614872906
Saint-François,46.4154,3.9054,13.89,71,0,1.54,FR,1614872906
Banda Aceh,5.5577,95.3222,27.0,79,44,3.07,ID,1614872906
Ballina,-28.8667,153.5667,16.0,94,0,2.15,AU,1614872907
Lagoa,39.05,-27.9833,14.13,67,100,4.8,PT,1614872907
Okhotsk,59.3833,143.3,-30.22,73,0,7.06,RU,1614872907
Trelew,-43.249,-65.3051,17.0,82,75,4.12,AR,1614872860
Namatanai,-3.6667,152.4333,26.17,80,96,2.24,PG,1614872908
Alofi,-19.0595,-169.9187,26.0,89,99,3.09,NU,1614872908
Chernyshevskiy,63.0128,112.4714,-35.36,85,16,2.49,RU,1614872908
Basse,52.5518,9.5069,5.0,87,75,3.09,DE,1614872908
Isangel,-19.55,169.2667,27.0,89,90,7.72,VU,1614872909
Westport,41.1415,-73.3579,5.0,56,9,5.91,US,1614872826
Ponoka,52.6768,-113.5815,-1.0,69,80,4.12,CA,1614872909
Mulegé,26.8833,-111.9833,17.08,62,81,2.9,MX,1614872909
Tiassalé,5.8983,-4.8283,32.03,61,97,1.77,CI,1614872909
Bestöbe,52.4994,73.0975,-1.72,95,100,10.31,KZ,1614872910
Zenzeli,45.9241,47.0474,3.03,75,0,4.52,RU,1614872910
Pimenta Bueno,-11.6725,-61.1936,25.6,85,99,2.6,BR,1614872833
Thompson,55.7435,-97.8558,-18.0,85,20,0.84,CA,1614872911
Nānākuli,21.3906,-158.1547,20.0,68,1,3.6,US,1614872911
Bilma,18.6853,12.9164,30.16,11,0,2.84,NE,1614872911
Moindou,-21.6924,165.677,23.0,94,0,4.5,NC,1614872911
Kholm,59.2667,32.85,-4.95,97,99,3.11,RU,1614872911
Pedasí,7.5333,-80.0333,27.15,70,2,8.68,PA,1614872911
Rawson,-43.3002,-65.1023,17.0,82,75,4.12,AR,1614872912
Elizabethtown,37.694,-85.8591,12.22,32,1,4.12,US,1614872912
Bengkulu,-3.8004,102.2655,26.41,84,100,3.07,ID,1614872912
Cabedelo,-6.9811,-34.8339,29.0,79,75,8.75,BR,1614872912
Ixtapa,20.7,-105.2,20.0,83,40,1.24,MX,1614872913
Cape Town,-33.9258,18.4232,22.78,49,40,8.23,ZA,1614872685
Mount Isa,-20.7333,139.5,26.0,18,41,4.12,AU,1614872913
Dingle,10.9995,122.6711,24.18,88,4,3.33,PH,1614872913
Ayan,56.45,138.1667,-25.78,76,0,5.45,RU,1614872913
Rome,43.2128,-75.4557,-2.78,58,90,7.2,US,1614872318
Pacific Grove,36.6177,-121.9166,9.44,76,1,1.54,US,1614872784
Padang,-0.9492,100.3543,26.0,94,20,2.06,ID,1614872914
Xinxiang,35.3089,113.8672,13.72,65,100,1.92,CN,1614872914
Nichinan,31.6,131.3667,16.41,91,100,7.6,JP,1614872914
Tambopata,-12.7333,-69.1833,27.0,83,75,3.09,PE,1614872914
Adamovka,51.5223,59.9396,-9.66,96,52,7.6,RU,1614872915
Nazca,-14.8333,-74.95,28.05,46,16,2.77,PE,1614872915
Asău,46.4333,26.4,11.11,24,8,2.5,RO,1614872915
Marawi,7.9986,124.2928,24.44,90,2,2.24,PH,1614872916
Ugoofaaru,5.6667,73.0,28.44,66,6,4.46,MV,1614872916
Kruisfontein,-34.0033,24.7314,23.89,67,2,3.58,ZA,1614872916
Maracaju,-21.6144,-55.1683,27.26,75,100,6.98,BR,1614872916
Ingham,42.6,-84.3833,-2.0,59,90,5.66,US,1614872916
Khorixas,-20.3667,14.9667,33.03,18,0,3.51,NA,1614872917
Caravelas,-17.7125,-39.2481,29.67,52,89,3.51,BR,1614872917
Oistins,13.0667,-59.5333,28.0,65,40,10.8,BB,1614872917
Joniškėlis,56.0253,24.1689,1.0,60,20,5.66,LT,1614872917
East London,-33.0153,27.9116,22.0,88,75,4.63,ZA,1614872918
Mumbai,19.0144,72.8479,31.0,42,0,2.48,IN,1614872749
Humaitá,-7.5061,-63.0208,27.58,85,78,2.48,BR,1614872918
Homa Bay,-0.5273,34.4571,29.0,51,75,5.66,KE,1614872918
Changying,52.8733,123.3213,-30.72,80,0,2.08,CN,1614872918
Ankara,39.9199,32.8543,10.0,32,0,3.09,TR,1614872700
Northam,51.0333,-4.2167,9.44,87,100,2.68,GB,1614872919
Kokopo,-4.352,152.2633,25.63,83,96,4.05,PG,1614872919
Touros,-5.1989,-35.4608,31.0,58,75,7.72,BR,1614872919
Masterton,-40.9597,175.6575,16.67,73,5,4.02,NZ,1614872919
Merauke,-8.4667,140.3333,25.71,87,100,5.01,ID,1614872919
Vizinga,61.0749,50.1031,-7.56,97,100,2.58,RU,1614872920
Pemangkat,1.1667,108.9667,25.35,89,76,3.26,ID,1614872667
Hamilton,39.1834,-84.5333,7.78,57,1,4.12,US,1614872920
